matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrenderNA1_5207183857,1489,GameComplete,False,False
NA1_5203436873,1172,GameComplete,True,False
NA1_5207183857,1489,GameComplete,False,False
NA1_5252912571,1610,GameComplete,False,False
NA1_5252390115,1838,GameComplete,False,False
NA1_5252378286,1309,GameComplete,False,False
NA1_5252375243,103,GameComplete,False,True
NA1_5252361786,1437,GameComplete,False,False
NA1_5252338482,1724,GameComplete,False,False
NA1_5252322022,1438,GameComplete,True,False
NA1_5252299411,1751,GameComplete,True,False
NA1_5252281156,1211,GameComplete,True,False
NA1_5252258662,1646,GameComplete,True,False
NA1_5252237107,1695,GameComplete,False,False
NA1_5251664016,1573,GameComplete,False,False
NA1_5251639002,1849,GameComplete,False,False
NA1_5251618300,1281,GameComplete,True,False
NA1_5251596991,1594,GameComplete,False,False
NA1_5251570558,1747,GameComplete,False,False
NA1_5251428908,1617,GameComplete,False,False
NA1_5251413072,1644,GameComplete,False,False
NA1_5251402553,1170,GameComplete,True,False
NA1_5251385561,1758,GameComplete,True,False
